Title,Revenue,LQS,Price,Category,Shop,Sales,Monthly sales,Creator,Product creation era,Views,Video,URL,Tag count,Tags,Review rate,Reviews,Review score,Production partners,Processing time,Min processing time,Max processing time,Favorites,Listing age (days),Personalization required,Creation date,Listing type,Vintage,Supply item,Personalizable,Image count,Free US shipping,Conversion rate,BSR Category,BSR Category (%),Monthly revenue
"10k Solid Yellow Gold Nugget Style Ring","$618822","53","$354.22","Jewelry","JBJewelryHouse","1747","35","Production partner","Made to Order","298129","No","https://www.etsy.com/listing/1063186547/10k-solid-yellow-gold-nugget-style-ring","0","","26.10%","456","4.45","Oro One, Inc.","4.00 days","3 days","5 days","4729","1494","No","06 A%u011Fu, 2021","Physical","No","No","No","6","Yes","0.59%","NaN","0.0","$12442",
"Pave Opal Ring Set by Caitlyn Minimalist %u2022 Set of 3: Opal & Diamond Everyday Stacking Rings %u2022 Dainty Gold Jewelry %u2022 Girlfriend Gift %u2022 RR148","$21798","79","$42.00","Jewelry","CaitlynMinimalist","519","35","Member of the shop","","53546","Yes","https://www.etsy.com/listing/1747516143/pave-opal-ring-set-by-caitlyn-minimalist","13","CAITLYN MINIMALIST,GOLD RING,OPAL RING,DIAMOND RING,RING SET,STACKING RINGS,PROMISE RING,OPAL JEWELRY,WEDDING JEWELRY,GIRLFRIEND GIFT,WIFE GIFT,DAINTY RING,BRIDESMAID GIFT","20.04%","104","4.50","None","1.00 days","1 days","1 days","3651","450","No","14 Haz, 2024","Physical","No","No","No","10","Yes","0.97%","NaN","0.0","$1461",
"Curved moss agate wedding band solid 10k/14k/18k solid rose gold matching stacking moissanite wedding ring band women anniversary ring gift","$62100","58","$90.00","Jewelry","HolaRing","690","35","Member of the shop","Made to Order","159570","Yes","https://www.etsy.com/listing/1645523969/curved-moss-agate-wedding-band-solid","13","Promise Ring,Bridal Ring,Birthday Gift,Best Friend Rings,18k Gold Ring,Gift for Her,Art Deco Ring,Graduation Gift,Moss Agate Jewelry,Danity,7 stone,thin band,danity ring","28.41%","196","4.85","None","21.00 days","14 days","28 days","7801","620","No","28 Ara, 2023","Physical","No","No","Yes","7","Yes","0.43%","NaN","0.0","$3130",
"Dainty Stacking Ring: Sterling Silver, 14K Gold Filled, Minimalist Midi Ring","$11172","53","$7.00","Jewelry","HanalaniJEWELRY","1596","34","Shop owner","Made to Order","110012","No","https://www.etsy.com/listing/1100068135/dainty-stacking-ring-sterling-silver-14k","13","Gold Stack Ring,Minimalist Ring,Hammered Ring,Simple Ring,Dainty Ring,Midi Ring,Stackable Ring,14k Gold Filled Ring,Plain Ring,Stacking Ring,Thin Ring,Gift for her,Silver Ring","30.51%","487","4.95","None","5.50 days","5 days","6 days","3791","1428","No","11 Eki, 2021","Physical","No","No","No","10","No","1.45%","NaN","0.0","$235",
"Rose gold wedding band Moissanite wedding band Marquise cut Diamond stacking matching Unique Full eternity Ring Vintage Wedding Promise gift","$752131","53","$293.00","Jewelry","CoolRingJewelry","2567","34","Shop owner","Made to Order","824029","Yes","https://www.etsy.com/listing/708009353/rose-gold-wedding-band-moissanite","13","Moissanite ring,rose gold ring,Full eternity ring,diamond ring,art deco,wedding band women,vintage ring,stacking ring,Custom Jewelry,Birthstone Jewelry,Personalized Gift,Marquise cut ring,solid gold ring","29.37%","754","4.93","None","14.00 days","14 days","14 days","38681","2301","Yes","21 May, 2019","Physical","No","No","Yes","8","Yes","0.31%","NaN","0.0","$9828",
"Apple Watch Band%u20137 Link Stainless Steel%u2013Silver/Gold-Silver/Rose Gold%u2013Includes Resizing Tool%u2013Sizes 38/40/41MM - 42/44/45/49MM Series 10 42-46","$94727","63","$52.95","Jewelry","qpwatchbands","1789","29","Production partner","","93124","Yes","https://www.etsy.com/listing/840385997/apple-watch-band7-link-stainless","13","Rose Gold Band,Apple Series 10 46MM,Apple Series 10 42MM,Apple Watch Band,Stainless Steel Band,Luxury Apple Strap,Gold Apple Watchband,Silver Apple Band,Women's Apple Band,Gift For Him,Gift For Her,Men's Apple Band,Christmas Gift","25.32%","453","4.92","Parts Manufacturer","1.00 days","1 days","1 days","2156","1878","No","17 Tem, 2020","Physical","No","No","No","10","No","1.92%","NaN","0.0","$1513",
"14K Solid Gold Natural Emerald Ring: Art Deco Genuine Raw Birthstone Wedding Band with Halo Diamond or Moissanite","$184746","84","$246.00","Jewelry","Cristojuanna","751","27","Shop owner","Made to Order","292806","Yes","https://www.etsy.com/listing/1477346008/14k-solid-gold-natural-emerald-ring-art","13","emerald gold ring,custom gemstone ring,oval engagement ring,10K 14K emerald ring,genuine emerald ring,emerald moissanite,birthstone diamond,natural stone ring,raw birth stone ring,vintage style rings,green wedding rings,green promise ring,art deco emerald 10K","24.50%","184","4.83","He helps me to ship my package to my customers better and safer. He also helps me to avoid confusion","6.00 days","3 days","9 days","13808","834","No","28 May, 2023","Physical","No","No","Yes","10","Yes","0.26%","NaN","0.0","$6653",
"Genuine Black Onyx Ring, 925 Sterling Silver Onyx Ring, 14k Gold Ring, Simple Band Women's Engagement Ring, Promise Gift Ring","$10710","63","$90.00","Jewelry","SilverArtLuxury","119","27","Shop owner","","12378","Yes","https://www.etsy.com/listing/1887797056/genuine-black-onyx-ring-925-sterling","13","Black Onyx Ring,Gold Onyx Ring,Oval Stone Ring,Oval Onyx Ring,Statement Ring,Black Onyx,Minimalist Ring,Dainty Ring,14k Gold Ring,Vermeil Ring,Gold Plated Ring,Wedding Ring,Onyx Ring","16.81%","20","4.30","None","2.00 days","1 days","3 days","1214","149","No","12 Nis, 2025","Physical","No","No","No","4","Yes","0.96%","NaN","0.0","$2417",
"Hammered Black Zirconium Ring: Minimalist Wedding Band","$96808","58","$104.32","Jewelry","SPIRITworkshopStore","928","26","Shop owner","Made to Order","76807","No","https://www.etsy.com/listing/1289291848/hammered-black-zirconium-ring-minimalist","13","Black Ring,Wedding Band,Unique Ring,Zirconium ring,Titanium ring,Anniversary Gift,Boyfriend Gift,Classic ring,minimalist ring,Mens Ring,Hammered Ring,black tungsten ring,BLACK GOLD","26.51%","246","5.00","None","5.50 days","3 days","8 days","3113","1092","No","11 Eyl, 2022","Physical","No","No","No","6","Yes","1.21%","NaN","0.0","$2670",
"Red Ring - Gold and silver plated","$34086","53","$46.00","Jewelry","Reyybie","741","26","Member of the shop","","36028","No","https://www.etsy.com/listing/1478026923/red-ring-gold-and-silver-plated","9","Best friend bracelet,Engraved bracelet,Personalized gift,Best friend gift,gift for her,Multicolor Bracelet,RED R%u0131ng,Taylor Red Ring,taylor sw","23.62%","175","4.90","None","4.00 days","3 days","5 days","2146","853","No","08 May, 2023","Physical","No","No","No","10","No","2.06%","NaN","0.0","$1213",
"Cluster Ring in 14k Gold / Diamond Cluster Ring / Unique Diamond Stackable Ring / Diamond Wedding Band/ Next Day shipping, Gift for Mom","$936700","68","$380.00","Jewelry","FerkosFineJewelry","2465","25","Shop owner","Made to Order","851014","Yes","https://www.etsy.com/listing/560291465/cluster-ring-in-14k-gold-diamond-cluster","13","Cluster Ring,Diamond cluster Ring,14k Gold,Unique Diamond Ring,Stackable Ring,tiny cluster ring,multi stone ring,unique stackables,wedding band,rose gold wedding,diamond ring,Ferkos Fine Jewelry,Gift for Mom","25.64%","632","4.92","None","1.00 days","1 days","1 days","45289","2905","No","25 Eyl, 2017","Physical","No","No","No","9","Yes","0.29%","NaN","0.0","$9684",
"Gold Hammered Tungsten Wedding Ring Set His and Hers, 2mm/4mm Bands","$306600","63","$420.00","Jewelry","LadiesAndGentsBands","730","24","Shop owner","Made to Order","219561","No","https://www.etsy.com/listing/1432329404/gold-hammered-tungsten-wedding-ring-set","13","wedding ring set,gold hammered ring,gold hammered band,gold ring,gold band,engagement band,gold tungsten ring,gold tungsten band,2mm wedding ring,hammered ring,hammered band,2mm wedding band,4mm wedding ring","29.73%","217","4.95","None","1.00 days","1 days","1 days","8175","898","No","25 Mar, 2023","Physical","No","No","No","10","Yes","0.33%","NaN","0.0","$10267",
"Toi et Moi Ring and Matching Band Set, Promise Ring, Engagement Ring, Two Stone Ring, Wedding Ring, Anniversary Gift, Gift for Her, Ring Set","$40936","68","$68.00","Jewelry","SamiJEWELS","602","24","Member of the shop","","81203","Yes","https://www.etsy.com/listing/1545244459/toi-et-moi-ring-and-matching-band-set","13","moi et toi ring,toi et moi ring,two stone ring,engagement ring,promise ring,anniversary gift,gift for her,wedding ring,wedding gift,diamond ring,anniversary ring,you and me ring,gold ring","25.08%","151","4.93","None","1.00 days","1 days","1 days","2930","754","No","15 A%u011Fu, 2023","Physical","No","No","No","10","Yes","0.74%","NaN","0.0","$1647",
"Mens Ring Silver Signet Ring Mens Band Rings For Men, Stainless for Him Pinky Ring, Promise Rings & Silver Signet Ring - By Twistedpendant","$24782","58","$20.28","Jewelry","Twistedpendant","1222","23","Production partner","","271498","Yes","https://www.etsy.com/listing/1005184256/mens-ring-silver-signet-ring-mens-band","13","mens ring,mens silver ring,Silver Rings for men,rings for men,Silver rings men,Pinky rings men,Silver Signet ring,Sterling silver ring,signet ring men,mens jewelry ring,mens pinky rings,18k Gold Ring men,Man ring silver","13.83%","169","4.80","Lindsey","1.00 days","1 days","1 days","3499","1577","No","14 May, 2021","Physical","No","No","No","10","No","0.45%","NaN","0.0","$476",
"Mens Ring - 18K Gold Band Ring Men, Mens Pinky Rings, Signet Ring Man, Mens Gold Ring for Anniversary, Gold Rings For Men- By Twistedpendant","$19651","47","$20.28","Jewelry","Twistedpendant","969","22","Production partner","","74723","No","https://www.etsy.com/listing/1127111982/mens-ring-18k-gold-band-ring-men-mens","13","mens ring,Stainless steel ring,Gift for him,Silver Rings for men,Promise ring,Mens pinky rings,Mens signet rings,mens gold rings,gold signet ring men,gold rings for men,gold rings men,gold band ring,ring mens jewellery","13.83%","134","4.70","Lindsey","1.00 days","1 days","1 days","1799","1363","No","14 Ara, 2021","Physical","No","No","No","10","No","1.30%","NaN","0.0","$437",
"Three Fourth Eternity Marquise Moissanite Wedding Band With Alternating Marquise & Round Cut Moissanite Stones Solid 14K Yellow, White, Rose","$108276","63","$218.30","Jewelry","FacetsandKarats","496","21","Shop owner","","197029","No","https://www.etsy.com/listing/1580648473/three-fourth-eternity-marquise","13","Wedding Band,Moissanite Band,Moissanite Ring,Marquise Moissanite,Marquise Band,Anniversary Band,Engagement Band,Matching Band,Facets and Karats,Wedding Ring,vintage wedding band,Stacking Band,14K Yellow Gold Band","29.64%","147","4.82","Los Angeles Casting","12.50 days","10 days","15 days","7326","705","No","04 Eki, 2023","Physical","No","No","Yes","10","Yes","0.25%","NaN","0.0","$4623",
"Name Logo Ring, Custom Shape Ring, Gift For Her, Logo Ring, 14K Gold Ring, Silver Ring, Unique Ring, Personalized Ring, One of a kind Gift","$31920","74","$120.00","Jewelry","RobertoGoldDiamond","266","21","Shop owner","Made to Order","7746","Yes","https://www.etsy.com/listing/1762743488/name-logo-ring-custom-shape-ring-gift","13","name logo ring,custom shape ring,signet ring,logo ring,gift for her,14k gold ring,silver ring,personalized ring,one of a kind gift,twisted band ring,gift for mom,christmas gift,statement ring","23.68%","63","4.95","None","2.00 days","1 days","3 days","303","392","Yes","12 A%u011Fu, 2024","Physical","No","No","Yes","7","Yes","3.43%","NaN","0.0","$2464",
"Vintage Rose Gold Natural Diamond Wedding Band - Delicate Open Petal Ring - Moissanite Curved Stacking Band by ManhattanBox","$368328","58","$412.00","Jewelry","ManhattanBox","894","20","Shop owner","Made to Order","267392","Yes","https://www.etsy.com/listing/1127870453/vintage-rose-gold-natural-diamond","12","diamond ring,wedding band,diamond band,rose gold,open ring,vintage ring,flower engagement,stacking ring,matching ring,Manhattanbox,Custom Ring,Curved Wedding Band","36.69%","328","5.00","None","17.50 days","14 days","21 days","14311","1383","Yes","25 Kas, 2021","Physical","No","No","Yes","10","Yes","0.33%","NaN","0.0","$8082",
"Hand Stamped Gold Floral Ring, Thick Gold Filled Ring","$29700","47","$54.00","Jewelry","hellomalojewelry","550","20","Shop owner","Made to Order","58053","Yes","https://www.etsy.com/listing/1466333524/hand-stamped-gold-floral-ring-thick-gold","6","Gold Ring,Gold Band,Floral Ring,Floral Jewelry,Gold Fill Ring,Thick Band Ring","20.55%","113","4.88","None","6.00 days","5 days","7 days","3215","850","Yes","12 May, 2023","Physical","No","No","Yes","8","No","0.95%","NaN","0.0","$1053",
"Hand Stamped Gold Birth Flower Ring, Gold Filled Floral Band, 4mm Thick Ring","$13511","47","$59.00","Jewelry","hellomalojewelry","229","20","Shop owner","Made to Order","20907","Yes","https://www.etsy.com/listing/1789729702/hand-stamped-gold-birth-flower-ring-gold","6","Gold Ring,Gold Band,Floral Ring,Floral Jewelry,Gold Fill Ring,Thick Band Ring","20.52%","47","4.89","None","6.00 days","5 days","7 days","1228","340","Yes","03 Eki, 2024","Physical","No","No","Yes","8","No","1.10%","NaN","0.0","$1205",
"Oval Black Onyx 14k Gold Engagement Ring: Antique Diamond Wedding Band","$27842","79","$77.99","Jewelry","PARADISEJEWELSCrafts","357","19","Shop owner","Made to Order","54439","Yes","https://www.etsy.com/listing/1664019538/oval-black-onyx-14k-gold-engagement-ring","13","Engagement ring,Moissanite ring,Diamond ring,Cluster ring,Bridal ring,Anniversary ring,Delicate ring,Solid gold ring,Rose gold ring,Unique wedding ring,Pear shaped ring,Black onyx ring,Black Friday","18.77%","67","4.67","None","1.50 days","1 days","2 days","3216","572","No","14 %u015Eub, 2024","Physical","No","No","Yes","10","Yes","0.66%","NaN","0.0","$1461",
"Tiny skull ring - gold silver skull - modern skull ring - eternity band - minimal skull - illusy jewelry","$27990","74","$30.00","Jewelry","illusy","933","19","Shop owner","Made to Order","70929","No","https://www.etsy.com/listing/1056283934/tiny-skull-ring-gold-silver-skull-modern","13","skull ring,tiny skull ring,small skull ring,minimalist ring,thin skull ring,skull band,momento mori,gothic skull,modern ring,friendship ring,layering rings,gold skull,silver skull","20.15%","188","4.82","None","3.00 days","2 days","4 days","6812","1481","No","19 A%u011Fu, 2021","Physical","No","No","No","6","Yes","1.32%","NaN","0.0","$577",
"18k Gold Filled Chunky CZ Eternity Band Ring","$1435","58","$31.90","Jewelry","ArtBossa","45","19","Member of the shop","","10332","Yes","https://www.etsy.com/listing/4325439386/18k-gold-filled-chunky-cz-eternity-band","13","stackable rings,18k gold filled ring,wholesale goldfilled,wholesale jewelry,jewelry supplier,trendy cz band ring,cz gold band ring,sophisticated jewel,minimalist jewelry,Statement Rings,elegante cz ring,WEDDING RING,baguette ring","15.56%","7","4.86","None","2.00 days","1 days","3 days","706","75","No","24 Haz, 2025","Physical","No","No","No","7","No","0.44%","NaN","0.0","$593",
"Slim Spinner Ring for Women %u2013 Skinny Fidget Ring in 3mm for Stress Relief, Focus &Meditation, Minimalist Hammered Anxiety Ring for Self-Care","$1345","58","$29.90","Jewelry","SpinRingStudio","45","19","Member of the shop","Made to Order","3358","No","https://www.etsy.com/listing/4321873991/slim-spinner-ring-for-women-skinny","13","spinner ring,anxiety ring,slim spinner ring,3mm spinner ring,fidget ring women,spinner ring women,hammer spinner ring,gold spinner ring,minimalist spin ring,yoga spinner ring,3mm fidget ring,slim calming ring,calming gift women","13.33%","6","5.00","None","2.00 days","1 days","3 days","145","83","No","17 Haz, 2025","Physical","No","No","No","10","Yes","1.34%","NaN","0.0","$559",
