Keyword,Search volume,3mo. Change,Competition,Score,Google Top of Page Bid (High),Google Top of Page Bid (Low),Google competition index,Google 1-Year Change,Google 3-Month Change,Etsy tag,Character length,Long-tail keyword,Average Review Count,Average Review Score,Google CPC,Google Competition Level,Google search volume,Average listing age,Average LQS,Conversion rate,Average price,Search to competition ratio,Competition level,Average views,Views,Average revenue,Revenue,Average sales,Sales,1-Year Change
"geek tshirt","6029","-1.0%","50618","52","$0","$0","","-37%","9%","Yes","","","6.9","4","$0","High","1300","342","52","3.59%","$25.79","0.03","Moderate","1320","8811063","$873","$4583790","35","203724","0.0%",
"women","1430646","11.0%","26856859","53","$0","$0","","-18%","0%","Yes","","","28.7","4","$0","Low","3350000","293","58","3.32%","$106.87","0.12","Very high","7134","3607724996","$6099","$2794353250","139","73942886","0.0%",
"gifts for guys","39771","32.0%","124912","74","$0","$0","","-33%","-12%","Yes","","","15.7","4","$0","High","27100","419","54","3.69%","$38.13","0.22","Moderate","3577","33184632","$2444","$16467427","83","802854","0.0%",
"belt buckle","46646","31.0%","137611","77","$0","$0","","-17%","-12%","Yes","","","10.0","4","$0","Low","110000","455","54","3.45%","$50.84","0.34","Moderate","2700","38777332","$3147","$15005970","55","762208","0.0%",
"gifts for men","509150","4.0%","10921882","51","$0","$0","","-33%","-28%","Yes","","","31.7","4","$0","Low","550000","297","57","4.23%","$91.33","0.05","Very high","5828","1280510601","$5878","$1359784746","159","36372843","0.0%",
"womens","1430646","11.0%","26857042","53","$0","$0","","-18%","0%","Yes","","","28.7","4","$0","Low","3350000","293","58","3.32%","$106.87","0.12","Very high","7134","3607741780","$6099","$2794366250","139","73943230","0.0%",
"sterling silver","269979","-1.0%","4030489","51","$0","$0","","-18%","-7%","Yes","","","27.9","4","$0","Low","135000","291","58","5.80%","$51.22","0.03","Very high","4192","586657827","$4324","$638742057","116","21780678","0.0%",
"birthday gift","494325","-6.0%","10444914","52","$0","$0","","0%","0%","Yes","","","30.5","4","$0","Low","673000","307","57","4.92%","$43.67","0.06","Very high","5522","1271165320","$4741","$937314784","158","37094504","-6.0%",
"anniversary gifts","233879","14.0%","3661615","52","$0","$0","","22%","13%","Yes","","","26.7","4","$0","Low","301000","302","57","3.63%","$99.31","0.08","Very high","6037","639193016","$5741","$614796336","143","15081584","0.0%",
"leather bracelet","40146","-29.0%","144162","72","$0","$0","","-18%","0%","Yes","","","14.1","4","$0","Low","22200","416","55","4.47%","$32.36","0.15","Moderate","3411","40761101","$2216","$16545368","79","1130887","0.0%",
"christmas gift","426358","36.0%","8899911","51","$0","$0","","22%","-34%","Yes","","","30.8","4","$0","Low","368000","331","57","5.33%","$38.62","0.04","Very high","5585","1076771591","$4765","$774107082","158","34080186","0.0%",
"engagement ring","260958","0.0%","1662746","62","$4","$0","","-33%","-12%","Yes","","","13.1","4","$2","Low","1830000","312","54","0.92%","$848.65","1.10","Very high","7501","695490876","$12336","$1314511466","52","2852498","-5.0%",
"free shipping","120188","-16.0%","717025","52","$3","$0","","-18%","-12%","Yes","","","19.5","4","$1","Low","49500","420","55","3.48%","$174.02","0.07","Very high","3978","106992084","$4715","$70207883","97","2049096","0.0%",
"geek","47829","11.0%","193554","90","$0","$0","","-18%","-1%","Yes","","","16.4","4","$0","Low","368000","410","54","3.69%","$30.67","1.90","Moderate","3458","56830950","$3205","$18204527","81","1261575","0.0%",
"gift for mom","265633","10.0%","4505009","51","$1","$0","","-45%","12%","Yes","","","31.1","4","$0","Low","201000","318","57","4.16%","$44.96","0.04","Very high","6719","841668208","$5558","$651976214","156","21450282","0.0%",
"leather belt","73204","18.0%","151225","80","$1","$0","","-18%","-6%","Yes","","","15.1","4","$0","Low","74000","440","55","2.19%","$62.70","0.49","Moderate","4795","76038618","$3377","$34336744","79","965086","0.0%",
"belt buckles for men","16983","21.0%","39828","84","$0","$0","","22%","0%","Yes","","","11.3","4","$0","High","27100","372","57","2.42%","$72.58","0.43","Low","2823","15435516","$2598","$10750938","55","219063","0.0%",
"belt buckles women","13121","107.0%","32948","83","$0","$0","","0%","0%","Yes","","","11.3","4","$0","Low","9900","389","57","2.53%","$58.07","0.40","Low","2941","13216692","$2353","$8040830","55","189196","0.0%",
"youth","51954","16.0%","469231","68","$0","$0","","0%","-6%","Yes","","","14.2","4","$0","Low","301000","377","53","4.12%","$24.26","0.64","High","2753","72403320","$1495","$31594176","81","1864934","0.0%",
"dangle drop earrings","206700","5.0%","2281786","36","$0","$0","","0%","-19%","Yes","","","18.5","4","$0","Low","3600","302","57","3.78%","$50.03","0.09","Very high","4079","368859142","$2690","$260484660","83","8039650","0.0%",
"price apparel","633","-32.0%","1633","60","$0","$0","","0%","220%","Yes","","","20.6","4","$0","Low","30","271","56","3.23%","$19.14","0.39","Very low","5061","2715426","$2219","$1199772","130","66654","0.0%",
"vintage belt buckle","17596","64.0%","75745","56","$0","$0","","123%","28%","Yes","","","12.0","4","$0","High","1600","410","55","3.40%","$50.85","0.23","Moderate","2755","13907397","$1925","$6019326","62","275394","0.0%",
"anniversary gift","234396","15.0%","3661496","52","$1","$0","","22%","13%","Yes","","","26.7","4","$0","Low","301000","302","57","3.63%","$99.31","0.08","Very high","6039","639622172","$5742","$616556740","143","15081244","0.0%",
"gifts for her","995004","-28.0%","8927369","50","$1","$0","","-33%","-33%","Yes","","","14.2","4","$0","Low","165000","423","56","3.40%","$45.78","0.02","Very high","3698","658638540","$1752","$241500798","69","13010144","0.0%",
"maternity","74521","-3.0%","142419","93","$3","$0","","-18%","-6%","Yes","","","12.6","4","$1","Low","165000","421","52","2.39%","$60.73","1.16","Moderate","7602","89140592","$3427","$29343249","79","975280","0.0%",
"kids","375217","54.0%","19185162","55","$0","$0","","0%","6%","Yes","","","24.3","4","$0","Low","4090000","277","56","6.30%","$27.97","0.21","Very high","3891","1414515102","$3089","$831745824","134","50616111","0.0%",
"women accessories","152042","2.0%","1328404","28","$0","$0","","0%","0%","Yes","","","17.3","4","$0","Low","0","365","55","3.00%","$47.06","0.11","Very high","3821","192553325","$2829","$115754600","88","3784285","0.0%",
"baseball hat","97238","12.0%","533170","53","$0","$0","","0%","28%","Yes","","","21.2","4","$0","Low","60500","419","52","3.98%","$24.57","0.11","Very high","3497","103144334","$2655","$52622755","114","2632454","0.0%",
"bridesmaid gift","108729","7.0%","995859","51","$0","$0","","-45%","-19%","Yes","","","33.2","4","$0","Low","49500","291","57","4.13%","$40.93","0.05","Very high","7503","322257717","$5751","$257478608","175","8417862","0.0%",
"nightgown","58554","-9.0%","39946","95","$0","$0","","0%","0%","Yes","","","9.5","4","$0","High","135000","454","53","1.78%","$68.95","1.47","Low","7967","33387200","$3363","$8611165","58","257992","-3.0%",
"bracelet for women","267033","-5.0%","1415669","56","$0","$0","","-18%","-12%","Yes","","","15.5","4","$0","Low","368000","413","57","2.90%","$70.69","0.26","Very high","4040","209434747","$2988","$104601150","80","3951599","0.0%",
"mothers day gift","279683","-23.0%","3008938","58","$1","$0","","122%","439%","Yes","","","32.4","4","$0","Low","1000000","311","56","3.68%","$47.21","0.33","Very high","7558","669158532","$5815","$465957908","165","14749434","0.0%",
"kaftan","62438","-29.0%","83063","83","$0","$0","","-18%","-9%","Yes","","","6.4","4","$0","Low","301000","389","52","0.97%","$116.41","3.62","Moderate","5401","64043420","$2814","$30315012","28","337960","0.0%",
"loungewear","66417","-15.0%","87703","94","$0","$0","","-33%","-39%","Yes","","","11.1","4","$0","Low","165000","406","54","1.82%","$61.54","1.88","Moderate","5345","48950940","$2820","$22676060","57","524100","0.0%",
"nursing","83200","-28.0%","312382","84","$0","$0","","0%","0%","Yes","","","20.0","4","$0","Low","1220000","437","54","4.56%","$18.91","3.91","High","5102","67714218","$1747","$19798506","121","2079675","0.0%",
"fashion gift","250992","-34.0%","1531868","29","$0","$0","","0%","0%","Yes","","","10.4","4","$0","Low","0","432","53","2.90%","$54.35","0.16","Very high","3112","162360134","$1674","$75048642","51","2943084","0.0%",
"shirt","226121","118.0%","14614641","52","$2","$0","","-18%","21%","Yes","","","21.2","4","$1","Low","1000000","232","54","6.87%","$31.16","0.07","Very high","3459","1095982204","$2970","$909528800","115","43202618","0.0%",
"gift for wife","141192","-11.0%","1125745","52","$0","$0","","-33%","-23%","Yes","","","15.6","4","$0","Low","74000","369","53","2.71%","$63.54","0.07","Very high","4564","184983510","$3787","$126703759","88","3381419","0.0%",
"cuff bracelet","66479","-41.0%","325446","61","$0","$0","","0%","6%","Yes","","","14.7","4","$0","Low","27100","401","53","3.13%","$87.08","0.08","High","3461","78950651","$3111","$49868071","76","1539666","0.0%",
"y2k","161729","43.0%","548863","75","$0","$0","","-33%","13%","Yes","","","11.8","4","$0","Low","1220000","496","52","2.19%","$29.39","2.22","Very high","4263","146449200","$1242","$29277635","56","1708574","0.0%",
"gift for daughter","110458","-40.0%","714489","51","$0","$0","","-18%","-6%","Yes","","","18.3","4","$0","Low","14800","394","54","3.21%","$40.49","0.02","Very high","4414","124840260","$3299","$74466120","103","2628216","0.0%",
"personalized gift","354933","-6.0%","7829912","51","$1","$0","","-83%","-62%","Yes","","","41.3","4","$1","Low","201000","299","58","6.94%","$43.22","0.03","Very high","5750","904396352","$7617","$1183301477","213","39418591","0.0%",
"personalized","985333","-7.0%","10010084","50","$0","$0","","21%","22%","Yes","","","20.6","4","$0","Low","165000","424","56","3.46%","$37.97","0.02","Very high","4518","861378840","$2801","$337519872","103","18458118","0.0%",
"robe","187371","-28.0%","277523","86","$0","$0","","-18%","13%","Yes","","","19.3","4","$0","Low","673000","435","53","2.02%","$76.41","2.42","High","8436","148599616","$4744","$62476313","120","1458364","0.0%",
"gift for him","419596","13.0%","3314986","51","$0","$0","","-33%","-37%","Yes","","","13.9","4","$0","Low","110000","423","56","3.38%","$42.45","0.03","Very high","3826","346165950","$1986","$126443850","73","7047690","0.0%",
"sleepwear","51658","13.0%","59730","89","$0","$0","","0%","-7%","Yes","","","9.5","4","$0","Low","40500","418","54","2.02%","$62.06","0.68","Moderate","6164","37028574","$2935","$15518100","54","381984","-8.0%",
"caftan","29533","-27.0%","35668","89","$0","$0","","0%","14%","Yes","","","6.0","4","$0","Low","135000","377","53","1.26%","$100.98","3.78","Low","4432","24612860","$2157","$11133332","27","155997","0.0%",
"gift for girlfriend","157292","9.0%","1012587","54","$1","$0","","-45%","-24%","Yes","","","16.8","4","$0","Low","165000","386","53","2.69%","$45.74","0.16","Very high","4653","165093144","$2890","$93281328","86","3146394","0.0%",
"gift for women men","600171","-2.0%","9234134","25","$0","$0","","0%","0%","Yes","","","16.3","4","$0","Low","0","329","55","2.81%","$212.94","0.00","Very high","3888","730524096","$3089","$603223200","84","13312512","0.0%",
"plus size","163892","-13.0%","408710","64","$0","$0","","-18%","-6%","Yes","","","12.0","4","$0","Low","165000","384","52","1.93%","$73.23","0.40","High","6019","180463283","$2940","$69209217","61","1597904","0.0%",
"custom making","121404","-15.0%","398895","34","$0","$0","","-18%","0%","Yes","","","18.5","4","$0","Low","1600","433","55","4.02%","$34.31","0.00","High","4052","90176976","$2198","$30255456","102","2062872","0.0%",
"cute notebook cover","1225","-1.0%","8595","57","$0","$0","","-18%","0%","Yes","","","7.7","4","$0","Low","1300","348","55","2.87%","$22.27","0.15","Low","2807","1925136","$1001","$721557","40","33192","0.0%",
"for birthday","1916350","1.0%","15622644","34","$0","$0","","0%","6%","Yes","","","12.9","4","$0","Low","3600","422","55","4.09%","$35.28","0.00","Very high","3275","881539542","$1524","$287743547","69","21413916","0.0%",
"handmade laptop bag","9988","1.0%","16080","39","$0","$0","","21%","15%","Yes","","","8.0","4","$0","Low","320","377","57","1.08%","$168.67","0.02","Low","5055","14232339","$4243","$8550168","35","84579","0.0%",
"handsewn tapestry","133","28.0%","1292","50","$0","$0","","0%","0%","Yes","","","2.0","4","$0","Low","0","229","53","2.31%","$1.95","0.00","Very low","794","240934","$360","$113010","9","2692","-28.0%",
"ipad protection case","1296","-18.0%","2151","81","$0","$0","","-18%","0%","Yes","","","12.9","4","$0","Low","4400","389","54","1.58%","$48.50","2.05","Very low","5673","1583458","$2429","$589414","58","16008","0.0%",
"macbook accessories","20542","28.0%","61615","79","$0","$0","","-33%","-6%","Yes","","","9.9","4","$0","Low","18100","418","52","3.06%","$28.82","0.29","Moderate","3384","26949568","$1829","$8319886","57","496512","0.0%",
"macbook air pro m3","5342","-37.0%","10346","47","$0","$0","","-63%","-38%","Yes","","","10.6","4","$0","Low","1000","270","51","1.36%","$44.90","0.10","Low","4258","6249104","$1958","$2361626","48","56256","0.0%",
"purse clutch bag","68263","28.0%","159916","44","$0","$0","","-33%","-18%","Yes","","","8.4","4","$0","Low","590","462","52","2.08%","$60.90","0.00","Moderate","3819","54027264","$2310","$19257765","44","580371","0.0%",
"quilted 13 14 inch","171","0.0%","717","48","$0","$0","","0%","0%","Yes","","","2.5","4","$0","Low","0","243","53","1.84%","$12.83","0.00","Very low","947","167610","$431","$76067","11","1812","-42.0%",
"soft sleeve for mac","71","50.0%","477","47","$0","$0","","0%","0%","Yes","","","2.5","4","$0","Low","0","240","53","1.79%","$32.56","0.00","Very low","1051","143865","$500","$57932","12","1380","0.0%",
"vintage design cases","7079","8.0%","35257","48","$0","$0","","0%","0%","Yes","","","5.8","4","$0","Low","0","352","54","2.32%","$56.66","0.00","Low","2257","5767650","$1106","$3032136","32","87888","0.0%",
"silver earrings","137017","-7.0%","1912464","25","$0","$0","","0%","0%","Yes","","","25.9","4","$0","Low","0","289","58","6.54%","$36.43","0.00","Very high","4031","287199421","$2991","$246518065","121","10837714","0.0%",
"best gift for her","53938","1.0%","437660","49","$1","$0","","-18%","-13%","Yes","","","32.6","4","$0","Low","8100","318","56","4.03%","$39.57","0.02","High","6153","139258537","$5533","$108812080","168","3766572","0.0%",
"metal bead beaded","8342","-21.0%","282800","37","$0","$0","","0%","0%","Yes","","","14.8","4","$0","Low","0","290","52","10.71%","$7.99","0.03","High","1061","30554178","$514","$9995803","71","2332380","0.0%",
"valentines day gift","177704","-3.0%","1834467","51","$0","$0","","0%","-97%","Yes","","","18.2","4","$0","Low","40500","370","53","3.35%","$63.46","0.02","Very high","4405","234268645","$3006","$156363924","91","4990338","-7.0%",
"wedding","1170229","44.0%","9728471","53","$0","$0","","-18%","7%","Yes","","","15.0","4","$0","Low","1220000","419","56","2.83%","$94.04","0.13","Very high","5481","1038789530","$2686","$374636642","81","14655122","0.0%",
"granddaughter gift","30638","-4.0%","91607","47","$0","$0","","-18%","-19%","Yes","","","14.2","4","$0","Low","390","394","54","3.82%","$36.19","0.00","Moderate","2899","24491394","$1739","$12417642","79","614091","0.0%",
"gold earrings","140108","-4.0%","1703676","60","$0","$0","","-33%","-12%","Yes","","","24.9","4","$0","Low","673000","273","56","4.77%","$64.95","0.40","Very high","5661","387288629","$3692","$270179296","130","9491076","0.0%",
"pendant necklace","236496","-12.0%","3710282","50","$1","$0","","-18%","0%","Yes","","","21.0","4","$0","Low","74000","275","57","5.71%","$54.67","0.02","Very high","4609","533958168","$3454","$463241160","93","15217584","0.0%",
"jewelry","2356550","21.0%","24263913","51","$2","$0","","-18%","-12%","Yes","","","12.5","4","$1","Low","1220000","466","56","2.89%","$73.59","0.05","Very high","3810","1354522096","$2401","$491094504","60","22468376","0.0%",
"men","801479","6.0%","18627361","54","$0","$0","","0%","0%","Yes","","","30.7","4","$0","Low","3350000","281","57","4.05%","$115.69","0.18","Very high","5693","2196277902","$6167","$2452376241","149","58996476","0.0%",
"men women gift","550342","9.0%","9335972","26","$0","$0","","0%","0%","Yes","","","15.8","4","$0","Low","0","336","55","2.82%","$213.18","0.06","Very high","3814","729286200","$3026","$592473785","83","13412160","0.0%",
"personalized leather","123121","3.0%","313364","36","$2","$0","","0%","-5%","Yes","","","30.0","4","$1","Low","590","333","58","2.38%","$59.15","0.00","High","7719","141637135","$6250","$81592660","150","2000760","0.0%",
"gift for men","509158","4.0%","10922049","50","$0","$0","","-18%","-24%","Yes","","","31.7","4","$0","Low","165000","297","57","4.23%","$91.33","0.02","Very high","5828","1280524331","$5878","$1359799326","159","36373233","0.0%",
"necklace","323896","-14.0%","5975792","54","$1","$0","","-17%","-5%","Yes","","","24.4","4","$0","Low","1000000","280","58","7.12%","$46.76","0.17","Very high","4607","724110660","$3941","$679550004","109","27231512","0.0%",
"wrap bracelet","31658","21.0%","87334","46","$0","$0","","0%","0%","Yes","","","11.2","4","$0","Low","0","447","55","3.83%","$40.44","0.00","Moderate","3105","33953928","$1547","$12327968","64","804264","0.0%",
"leather wristband","8150","31.0%","10586","64","$0","$0","","-19%","6%","Yes","","","12.4","4","$0","Low","2900","488","57","2.40%","$42.71","0.27","Low","3960","7718929","$2061","$3065500","73","122620","0.0%",
"lingerie","154383","-11.0%","191358","91","$1","$0","","0%","0%","Yes","","","12.2","4","$0","Low","2740000","472","52","2.33%","$50.24","14.32","Moderate","7024","91264441","$2110","$20208129","70","1013387","-5.0%",
"14k white gold ring","199625","37.0%","696577","16","$2","$0","","-19%","-12%","Yes","","","4.8","4","$1","Low","2900","432","46","0.71%","$1070.52","0.00","Very high","3049","118971448","$7033","$404703840","22","574048","0.0%",
"bracelets for women","267033","-5.0%","1415641","57","$0","$0","","-18%","-12%","Yes","","","15.5","4","$0","Low","368000","413","57","2.90%","$70.69","0.26","Very high","4040","209432044","$2988","$104599800","80","3951548","0.0%",
"one size","86046","22.0%","292184","68","$0","$0","","21%","31%","Yes","","","14.0","4","$0","Low","90500","470","54","3.46%","$45.98","0.29","High","4318","80842347","$1626","$23052390","82","1589820","0.0%",
"scarf pin","9071","33.0%","34784","69","$0","$0","","22%","0%","Yes","","","10.0","4","$0","High","5400","531","55","4.27%","$29.60","0.26","Low","2087","11197130","$942","$3491454","58","295070","0.0%",
"womens bracelet","266992","-5.0%","1415334","53","$0","$0","","0%","-40%","Yes","","","15.5","4","$0","Low","165000","413","57","2.90%","$70.73","0.12","Very high","4040","209401410","$2988","$104584500","80","3950970","0.0%",
"personalized jewelry","85413","-23.0%","1063316","52","$1","$0","","-70%","-81%","Yes","","","36.6","4","$0","Low","74000","325","57","5.33%","$49.83","0.07","Very high","6276","259645666","$7278","$310732912","194","8992886","0.0%",
"bridal jewelry","149742","-26.0%","1108054","52","$1","$0","","0%","-16%","Yes","","","19.0","4","$0","Low","90500","323","55","2.63%","$188.72","0.08","Very high","6765","319761000","$4828","$253258583","92","4919400","0.0%",
"dangle earrings","214788","3.0%","2490353","50","$0","$0","","0%","0%","Yes","","","19.5","4","$0","Low","49500","302","58","4.20%","$46.81","0.02","Very high","4061","384637211","$2734","$284297069","88","9556204","0.0%",
"french hook ear wire","2367","-2.0%","11029","55","$0","$0","","133%","7%","Yes","","","14.3","4","$0","Low","170","443","54","7.40%","$12.74","0.21","Low","1639","3343417","$650","$757634","91","186090","0.0%",
"girlfriend gift","156646","11.0%","1012559","51","$1","$0","","-33%","-34%","Yes","","","16.7","4","$0","Low","33100","386","53","2.69%","$45.69","0.03","Very high","4650","165275547","$2893","$92918911","86","3146343","0.0%",
"crochet pattern","57038","-2.0%","628781","60","$0","$0","","0%","-6%","Yes","","","27.3","4","$0","Low","246000","298","56","5.77%","$5.24","0.39","Very high","7767","317248200","$1279","$49057012","251","11913540","0.0%",
"gift idea","235992","-4.0%","4025449","52","$0","$0","","0%","-12%","Yes","","","25.7","4","$0","Low","301000","311","57","3.64%","$39.63","0.07","Very high","5984","705377190","$4206","$386514530","135","15611970","0.0%",
"silver necklace","164388","-11.0%","2615783","51","$0","$0","","-18%","0%","Yes","","","22.9","4","$0","Low","135000","302","58","5.67%","$50.13","0.05","Very high","4030","451699200","$3880","$481341960","109","14468490","0.0%",
"for women","1425854","11.0%","26856795","50","$0","$0","","-33%","-8%","Yes","","","28.6","4","$0","Low","60500","293","58","3.33%","$106.89","0.00","Very high","7111","3583644316","$6095","$2785750380","139","73942757","0.0%",
"leather bracelets","38913","-24.0%","143734","43","$0","$0","","0%","0%","Yes","","","14.1","4","$0","Low","0","417","55","4.47%","$32.36","0.00","Moderate","3406","40629132","$2213","$16487184","79","1128587","0.0%",
"mom dad hat","8138","-9.0%","33193","59","$0","$0","","26%","17%","Yes","","","16.5","4","$0","Low","1900","298","53","3.85%","$24.92","0.25","Low","3323","13354848","$1837","$6691692","88","313896","0.0%",
"sterling silver ring","226433","-8.0%","1454488","51","$0","$0","","-18%","-18%","Yes","","","31.3","4","$0","Low","49500","285","56","2.71%","$88.82","0.03","Very high","8398","601378020","$5733","$427120452","136","8286705","0.0%",
"jewelry for women","621921","20.0%","8869121","50","$0","$0","","22%","0%","Yes","","","23.4","4","$0","Low","22200","300","58","2.48%","$162.77","0.00","Very high","6644","1565617482","$6014","$1426306668","114","22666644","0.0%",
"women gift","798404","9.0%","14705713","51","$0","$0","","-32%","-33%","Yes","","","28.8","4","$0","Low","60500","300","58","3.19%","$92.47","0.05","Very high","6846","2141872348","$5167","$1607545984","143","42243751","0.0%",
"3rd anniversary gift","13896","-27.0%","17102","49","$0","$0","","0%","0%","Yes","","","23.8","4","$0","Low","0","327","58","2.68%","$49.10","0.00","Low","5699","12658712","$4445","$6960967","122","224048","0.0%",
"bridal earrings","67688","-10.0%","276438","64","$0","$0","","-18%","-6%","Yes","","","12.4","4","$0","High","27100","405","54","2.68%","$82.57","0.10","High","3903","64380232","$2332","$38276000","60","1071728","0.0%",
"map bracelet","1096","-63.0%","7365","51","$1","$0","","-46%","-27%","Yes","","","5.2","4","$0","High","170","341","61","3.41%","$29.68","0.02","Low","1109","1811753","$646","$1279370","29","41270","0.0%",
"mens cuff bracelet","35233","-9.0%","99074","73","$0","$0","","-18%","-6%","Yes","","","12.8","4","$0","Low","12100","403","58","2.40%","$65.01","0.12","Moderate","4139","43434000","$3075","$22555200","71","647700","0.0%",
"mothers day","298100","-23.0%","3952017","75","$0","$0","","81%","304%","Yes","","","31.4","4","$0","Low","6120000","317","56","4.11%","$47.43","1.55","Very high","6807","754536075","$5454","$532613700","159","18688200","0.0%",
"cuff bracelet woman","54096","-82.0%","184068","41","$0","$0","","0%","0%","Yes","","","6.4","4","$0","Low","0","394","60","2.84%","$47.45","0.00","Moderate","2056","24027575","$1255","$12190750","37","471900","-19.0%",
"diamond halo ring","72688","4.0%","166699","34","$0","$0","","0%","0%","Yes","","","3.8","4","$0","Low","0","404","51","0.54%","$1184.12","0.44","Moderate","5781","83363328","$7788","$151747308","15","271365","0.0%",
"wedding gift","291350","12.0%","5394194","51","$0","$0","","-32%","0%","Yes","","","31.2","4","$0","Low","165000","291","58","5.24%","$77.15","0.03","Very high","5410","765462672","$6138","$830232590","155","23668152","0.0%",
"wedding jewelry","328954","18.0%","4138206","50","$1","$0","","-33%","-21%","Yes","","","25.9","4","$1","Low","60500","292","57","4.09%","$231.03","0.01","Very high","5878","775637758","$7762","$1064392896","123","15908046","-4.0%",
"leather jewelry","99275","-10.0%","564384","31","$0","$0","","-17%","16%","Yes","","","16.7","4","$0","High","2400","398","54","3.25%","$44.02","0.00","Very high","4073","128108310","$2738","$61280547","86","2736294","0.0%",
"stainless steel","151983","21.0%","1494986","59","$0","$0","","0%","0%","Yes","","","18.4","4","$0","Low","550000","407","54","4.09%","$38.61","0.37","Very high","3479","207454360","$2388","$98181394","95","5789424","0.0%",
"accessories","1436967","-12.0%","11895833","52","$0","$0","","-32%","7%","Yes","","","14.2","4","$0","Low","1000000","494","54","3.47%","$27.23","0.08","Very high","3496","766020850","$1077","$210037975","67","16803038","0.0%",
"earrings","218571","57.0%","5187632","55","$1","$0","","-17%","-17%","Yes","","","27.3","4","$0","Low","1000000","284","58","8.82%","$30.42","0.19","Very high","3288","512115006","$2744","$438473880","123","26983008","0.0%",
"handmade","584821","-10.0%","11513737","51","$0","$0","","-45%","0%","Yes","","","29.0","4","$0","Low","246000","319","58","5.15%","$83.94","0.02","Very high","4525","1123320506","$4446","$703767064","125","35768381","-3.0%",
"bride","0","0.0%","0","65","$0","$0","","22%","15%","Yes","","","30.5","4","$0","Low","673000","294","56","4.62%","$53.50","0.61","Very low","6242","0","$5145","$0","158","0","0.0%",
